Title,Also Known As,Written By,Director,Cast,Genre,Network,Episodes,Release Dates,Poster,Description
Romance (South Korean TV series),N/A,Bae Yoo-mi,Lee Dae-young,"Kim Jaewon
Kim Ha-neul","Drama
Romance
Comedy",Munhwa Broadcasting Corporation,16,"May 8 –
June 27, 2002",N/A,"Fatal love strikes us out of a sudden and helplessly takes us deep down into the sea of fervor, giving us no choice but to yield. This drama beautifully unfolds the forbidden passion between a teacher and a student. Chae-Won and Gwan-Woo meet for the first time at a rural seaside village flower festival. They fall in love at first sight, not in their dreams have they known that Chae-Won is the teacher at Gwan-Woo's high school."
Was It Love?,N/A,Lee Sung-jin,Kim Do-hyung,"Song Ji-hyo
Son Ho-jun
Song Jong-ho
Kim Min-jun
Koo Ja-sung
Kim Da-som","Romantic drama
Romantic comedy
Slice of life",JTBC,16,"July 8 –
September 2, 2020",N/A,"Noh Ae-jung (Song Ji-hyo) is a single mother with a strong survival instinct who has been single for 14 years. All of a sudden, four men who appeal to her in different ways appear in her life. She had past friendships and relationships with three out of four of these men before her pregnancy. Oh Dae-oh (Son Ho-jun) is a bad but attractive man, Ryu Jin (Song Jong-ho) is pathetic but a handsome and rich actor, Goo Pa-do (Kim Min-jun) who is scary and sexy, and Oh Yeon-woo (Koo Ja-sung) who is a flirty younger man.[3]"
Green Rose,N/A,"Yoo Hyun-mi
Kim Doo-sam","Kim Soo-ryong
Kim Jin-geun","Go Soo
Lee Da-hae
Lee Jong-hyuk
Kim Seo-hyung","Action
Romance
Drama
Suspense",SBS TV,22,"19 March –
29 May 2005",N/A,"Lee Jung-hyun (Go Soo) and Oh Soo-ah (Lee Da-hae) are living a normal life as a couple until it is revealed that Soo-ah is actually the daughter of Oh Byung-moo (Han Jin-hee), chairman of SR Electronics, the very company he works at. Shocked and hurt that Soo-ah wasn't honest with him, Jung-hyun tries to break up with her but she convinces him to give their relationship another chance. One night, Jung-hyun is summoned to the chairman's vacation house. Inside, Jung-hyun finds the chairman and the housekeeper both on the floor, the former unconscious and the latter dead. When Jung-hyun attempts to carry the chairman out of the house, a fire is started and Jung-hyun is knocked out. After the evidence points to Jung-hyun as the main suspect, he is sentenced to life imprisonment. To give her son a chance to get out of jail and prove his innocence, his mother kills herself. Cornered by policemen and the SWAT team after a long and exhausting car chase, Jung-hyun jumps off a bridge."
Divorce Attorney Shin,N/A,Yoo Young-ah[2],"Lee Jae-hoon
Lim Jun-hyuk","Cho Seung-woo
Han Hye-jin
Kim Sung-kyun
Jung Moon-sung",Legal drama[1],JTBC,12,"March 4 –
April 9, 2023",N/A,"The series depicts the turbulent story of Shin Sung-han (Cho Seung-woo), a lawyer specializing in divorce.[9]"
Stranger (TV series),Forest of Secrets,Lee Soo-yeon,"Ahn Gil-ho (Season 1)
Yoo Je-won (Season 1)
Park Hyun-suk (Season 2)","Cho Seung-woo
Bae Doona
Lee Joon-hyuk
Yoo Jae-myung
Shin Hye-sun
Jeon Hye-jin
Choi Moo-sung
Yoon Se-ah","Crime
Drama
Thriller",tvN,32 (list of episodes),"June 10, 2017 –
October 4, 2020",N/A,"In the first season, Hwang Si-mok (Cho Seung-woo) is an exemplary prosecutor who suffers fromhypersensitivity to certain sound frequencies. After undergoing corrective surgery, he lost his sense ofempathyand lackssocial skills. While investigating a murder, he meets Police Lieutenant Han Yeo-jin (Bae Doona), who assists his efforts to solve the case. As they begin to unravel the mystery behind the murder, they find that their efforts are continually being obstructed by participants in a major corruption conspiracy between the Prosecutors' Office and a privatechaebol (conglomerate)."
Home for Summer,N/A,Goo Ji-won,Seong Joon-hae,"Lee Young-eun
Yoon Sun-woo
Lee Chae-young
Kim Sa-kwon
Kim Hye-ok
Na Hye-mi","Family
Melodrama",KBS1,128[a],"April 29 –
October 25, 2019",N/A,A heartwarming story about family members who cannot hate each other even when they want to.
The Great Shaman Ga Doo-shim,Excellent Shaman Ga Doo-shim,Joo Brothers,Park Ho-jin,"Kim Sae-ron
Nam Da-reum","Fantasy[1]
Mystery[1]
Romance[2]",KakaoTV,12,"July 30 –
October 8, 2021",N/A,"Ga Doo-shim (Kim Sae-ron), an 18-year-old girl born with the fate of becoming ashaman, tries to live a normal life. Her grandmother told her if she manages to survive being 18, she can live a normal life thereafter. Later when her grandmother tells her mother that she found the spirit she lost to capture is actually in Songyong High school, she urges Doo-shim's mother to transfer to that school. She transfers to the new high school and meets Na Woo-soo (Nam Da-reum). Na Woo-soo, who is handsome, gets outstanding grades and comes from a wealthy family, gains the ability to see evil spirits after meeting Ga Doo-shim when her grandmother possesses him for some time to tell Ga Doo-shim that the evil spirit she encountered while she was a kid is actually here in their school. Eventually, Na Woo-soo and Ga Doo-shim become friends. 
This spirit that is present in their school is actually an evil spirit that possesses the students who get the lowest score and makes them take their own life usually by suicide (jumping off the school building). This fear of getting low score might take their life, makes student study harder making their school one of the most prestigious. But this takes a turn when Na Woo soo discovers that the next student to fall into this trap is actually his own friend Kim Il-nam–the lowest scorer of the exam. Na Woo-soo with Ga Doo-shim decide to save him. And with the help of Hyun-soo (another dead student soul, also the victim of this evil spirit who lost his life and now friends with Ga Doo-shim) they keep Il-nam safe.
As they (Woo-soo and Doo-shim) go on to take down the spirit that takes away their own friends from the school, Hyun-soo tells Doo-shim that it's actually their school's principal who is behind all this, and Doo-shim suspects him to have killed her grandmother.
Later, Doo-shim and Woo-soo together fight the demon and the principal is dead. And they start their school life without any worries to die. They meet ill-nam and Hyun-so leaves to meet his mother."
Cheer Up! (TV series),"Sassy, Go Go",Yoon Soo-jung,Lee Eun-jin,"Jung Eun-ji
Lee Won-keun
Chae Soo-bin
Cha Hak-yeon
Ji Soo
Chae Soo-bin","Teen
Romance
Drama",KBS,12,"October 5 –
November 10, 2015",N/A,"Set at the elite Sevit High School inSeoul, the drama follows the lives of five students as they attempt to survive in a vicious environment where academic elitism takes place. Kang Yeon-doo (Jung Eun-ji) is the leader of outcaststreet danceclub ""Real King"", a group of students who band together because of their poor academic performance, whereas Kim Yeol (Lee Won-keun) is the President of ""Baek Ho"", an elite club composed of students from the top 5 percent. When the two clubs are forcibly merged to create acheerleadingsquad, the two put their differences aside for the benefit of their clubs. As they go on with their misadventures, many things happen that result in a strong and unbreakable bond.Cheer Up!is a story that aims at ordinary high school students' misadventures including love, heartbreak, pain and friendship."
Man to Man (TV series),Man x Man,Kim Won-seok,Lee Chang-min,"Park Hae-jin
Park Sung-woong
Kim Min-jung
Chae Jung-an
Yeon Jung-hoon","Action
Thriller
Melodrama
Comedy",JTBC,16,"21 April –
10 June 2017",N/A,"A longtime celebrity Yeo Woon-gwang (Park Sung-woong) suddenly has a need for a bodyguard and hires Kim Seol-woo (Park Hae-jin), a handsome and mysterious man trained in special investigations who has many talents. In reality, Seol-woo is a NIS black ops agent who has his own agenda and the role of bodyguard is only a cover to achieve his goals. The drama is about the twisty events they encounter and the budding bromance between the star and bodyguard. In addition, Seol-woo gets romantically involved with Cha Do-ha (Kim Min-jung), the manager of Woon-gwang."
Midas (TV series),N/A,Choi Wan-kyu,"Kang Shin-hyo
Lee Chang-min","Jang Hyuk
Lee Min-jung
Kim Hee-ae
No Min-woo","Romance
Business
Drama",SBS TV,21,"February 22 –
May 3, 2011",N/A,"Kim Do-hyun is an intelligent man with a modest upbringing. He is the top student in his class at one of the top-tier law schools in the country. While looking for prospective jobs, he is recruited as an attorney for an affluent family whose true wealth may be more than anyone could have imagined. His dreams of a peaceful life with his girlfriend (Lee Jung-yeon) are changed when someone ""makes him an offer he can't refuse.""[4]"
Mysterious Personal Shopper,N/A,"Kim Ye-na
Lee Jung-dae",Kim Sang-hwi,"Choi Myung-gil
Park Ha-na
Wang Bit-na
Lee Eun-hyung
Han Sang-jin","Family
Drama
Revenge
Suspense",KBS2,103[a],"February 26 –
July 20, 2018",N/A,"Centered around the fashion tycoon President Eun's family, the mystery hidden inside the mansion is unveiled in an unpredictable way through the relationships and feuds between various people."
You Are a Gift,"You Are My Present
You're My Special Gift
The Gifted","Lee Moon-hwi
Oh Bo-hyun",Yoon Ryu-hae,"Heo Yi-jae
Cha Do-jin
Choi Myung-gil
Jin Ye-sol
Kim Cheong
Song Jae-hee
Shim Ji-ho","Melodrama
Romance
Family
Revenge",SBS,111,"13 June –
24 November 2016",N/A,"You Are a Gift (Korean: 당신은 선물; RR: Dangsineun seonmul) is a 2016 South Korean evening daily drama series starring Heo Yi-jae, Cha Do-jin, Choi Myung-gil, Jin Ye-sol, Kim Cheong, Song Jae-hee, and Shim Ji-ho. It aired on SBS from June 13 to November 24, 2016, airing every Monday to Friday evening at 19:20 for 111 episodes.[1]"
Love to Hate You (TV series),N/A,Choi Soo-young,Kim Jung-kwon,"Kim Ok-vin
Teo Yoo
Kim Ji-hoon
Go Won-hee",Romantic comedy[1],Netflix,10,"February 10, 2023",N/A,"Yeo Mi-ran (Kim Ok-vin) is a free-spirited lawyer with a strong interest in social justice, especially when it relates to women. She enjoys sex, but has a low opinion of men and is not afraid to use her martial arts skills to beat up the bad guys. A change of circumstances forces her to take up a job in a big male-dominated law firm which specialises in sorting out celebrities' scandals. One of its clients is Nam Kang-ho (Teo Yoo), a big star of romantic movies who has an aversion to women. Mi-ran overhears Kang-ho making angry misogynistic remarks about women labeling them as nothing more than gold diggers and she adds him to her personal database of jerks. She has a hunch that he's up to no good with a schoolgirl and schemes to get close to him to find evidence exposing his nefarious deeds and bring him down..."
Secret Campus (South Korean TV series),N/A,"Yeon Mi-jung
Lee Hae-jung",Lee Chang-yong,N/A,N/A,EBS1,24,"May 10 –
July 27, 2006",N/A,
Guardian Angel (TV series),N/A,Lee Hee-myung,Kim Young-sup,"Song Hye-kyo
Kim Min-jong","Drama, Romance",Seoul Broadcasting System,16,"August 1 –
September 20, 2001",N/A,"When her pregnant friend gives birth then dies after a vehicular accident, Jung Da-so raises the child as her own. Da-so was an orphan who endures the stigma of being an unwed mother in order for her daughter to have a family. Ha Tae-woong, who was raised by his uncle after his mother died, has never met his father. Da-so and Tae-woong meet as employees of Woori Company, whose president is Tae-woong's father. Through a twist of fate, their lives become entwined with Kang Sae-hyun and Ho Ji-soo, and Da-so sees both the best and worst in human nature."
The Greatest Love (South Korean TV series),N/A,"Hong Mi-ran
Hong Jung-eun","Park Hong-kyun
Lee Dong-yoon","Cha Seung-won
Gong Hyo-jin
Yoon Kye-sang
Yoo In-na","Romance
Comedy",MBC TV,16,"May 4 –
June 23, 2011",N/A,"Gu Ae-jung (Gong Hyo-jin) was the most popular member of girl group Kukbo Sonyeo, literally meaning ""National Treasure Girls,"" some 10 years ago, but fell from grace after becoming embroiled in scandals. She makes appearances on television programs to eke out a living for her troublemaker father and brother."
Ireland (TV series),N/A,In Jung-ok,Kim Jin-man,"Lee Na-young
Kim Min-jun
Kim Min-jung
Hyun Bin","Romance
Drama",Munhwa Broadcasting Corporation,16,"September 1 –
October 21, 2004",N/A,"Adoptedinto an Irish family as a child and raised in Ireland, Lee Joong-ah (Lee Na-young) is devastated when her entire family is killed after her brother gets involved with theIrish Republican Army.[1]Deeply traumatized, racked by guilt and suddenly rootless, she decides to journey to her homeland to search for her biological family. She quickly meets Kang Gook (Hyun Bin), a kind, solitary bodyguard who offers to help her in her quest. Fate has her cross paths with her biological brother, Jae-bok (Kim Min-jun), when she saves him from an accident, but they part not knowing they are related. Jae-bok is a slacker living with his girlfriend Si-yeon (Kim Min-jung), a kind-hearted adult film actress who is her family's breadwinner. All four go about their lives, unaware of the gravity this chance encounter will have on their lives.[2]"
Golden House (TV series),Good Harvest Villa,"Jang Hang-jun
Kim Eun-hee",Jo Hyun-tak,"Shin Ha-kyun
Lee Bo-young
Baek Yoon-sik","Comedy, Thriller",tvN,20,"March 5 –
May 27, 2010",N/A,"When the owner of a shabby, soon-to-be-demolished villa in a run-down part ofSeoulmysteriously dies, it sets in motion a chain of events that touches many lives. His son Oh Bok-gyu (Shin Ha-kyun), a struggling actor who was previously completely unaware of his inheritance, arrives to take possession of Apartment Number 201, only to find that rumors are swirling everywhere that his father has left a huge fortune of ₩50 billion ingold barshidden somewhere in the villa — and that his father was murdered. As Bok-gyu navigates his way through the web of mystery surrounding his father's death, he encounters intrusive neighbors, oddball residents, a hardcore gangster and a beautiful girl — any of whom may have their eyes set on his money. When he meets orphaned, lovely Yoon Seo-rin (Lee Bo-young), he thinks that she's the girl of his dreams, but is unsure whether to trust her.[3]"
Basketball (TV series),N/A,Kim Gwa-jang,Kwak Jung-hwan,"Do Ji-han
Lee Elijah
Jung Dong-hyun","Period drama
Romance
Sports",tvN,18,"October 21 –
December 31, 2013",N/A,"Set during the turbulent years of theJapanese occupationuntil independence, and a few years beforethe division of Korea into North and South, the story is about aspiring basketball players from various background and their life. The drama follows the loves, conflicts, unity, and emotional victory of young athletes who cling to the sport as the bright spot in the darkness of their times.[3][unreliable source?]"
Dokgo Rewind,N/A,N/A,Choi Eun-jong,"Oh Se-hun
Jo Byeong-kyu
Ahn Bo-hyun
Kang Mi-na","Action
School Life","Kakao Page
oksusu
Viki (international)",20,"September 7, 2018",N/A,"Kang Hyuk, a middle-school student took down 30 high-school students single-handedly and got the name 'Dokgo'. 2 years later, he is a dropout and hangs out with his two friends: Choi Jae-Wook (Shin Won-ho) and Goo Bon-hwan (Lee Bum-kyu) who are also dropouts. One day, Hyuk and his friends save Kim Kyu-soon who was getting bullied at the alley, Kyu-soon befriends them asks them to help him protect his sister, Kim Hyun-sun. He tells about the Ki Cheon High and Dang Young High school alliances, a group of delinquents who bullies students and takes money from them to support their circles. Cho Kang-hoon is the leader of Ki Cheon High and Kim Sung-kyu is the leader of Dang Young High."
The Wind Blows (TV series),N/A,Hwang Joo-ha,Jung Jung-hwa,"Kam Woo-sung
Kim Ha-neul
Kim Sung-cheol
Kim Ga-eun",Melodrama,JTBC,16,"May 27 –
July 16, 2019",N/A,Do-hoon divorced Soo-jin when he learned that he hadAlzheimer's disease. They meet again five years later and Soo-jin learned the reason that lead to the divorce back then. She suffered to overcome the pain and decided to be by Do-hoon's side once again.
Kim Is a Genius,N/A,N/A,Kim Min-ji,"Yoo Young-jae
Park Soo-ah
Jung Sung-ho
Choi Moon-hee","Drama
Fantasy",JTBC,N/A,Nov-19,N/A,"Kim Is a Geniusfollows the peculiar happenings at Fisher-King, a viral marketing company whose (largely incompetent) employees come to depend on a number of mysterious smart-phone apps providing unusual and improbable services — from allowing users to see through photoshopped images to analyzing the content of the food they eat. Each episode is viewed as though through the phone of one character, from the hapless but handsome Chadol Chun to the ultra-competent but borderline-sociopathic Yeon-seop Kim."
Enemies from the Past,Forever Enemies[1],Kim Ji-eun,Kim Heung-dong,"Choi Yoon-young
Goo Won
Ahn Jae-mo
Go Na-yeon","Family
Melodrama",MBC TV,123[a],"November 27, 2017 –
June 1, 2018",N/A,"After her father left the family home after having an affair ten years previous, Choi Go-ya supports her family by doing part-time work. She is now looking for a full-time job. Min Ji-seok is a lawyer who specializes in divorces and is skeptical about marriage, but he meets Go-ya and gets close to her. However, they face difficulties as their families are enemies."
Love Rain,Love Rides the Rain,N/A,Yoon Seok-ho,"Im Yoon-ah
Jang Keun-suk","Romance, Melodrama",Korean Broadcasting System,20,"March 26 –
May 29, 2012",N/A,"It's love at first sight when Seo In-ha (Jang Keun-suk) and Kim Yoon-hee (Im Yoon-ah) meet as shy university students in the seventies. It takes time for the hesitant pair to finally voice their feelings, but circumstances beyond their control send them down different paths. In 2012, In-ha (Jung Jin-young) is now unhappily married to Baek Hye-jung, one of Yoon-hee's former best friends. He has never gotten over his first love, and when he runs into Yoon-hee (Lee Mi-sook) after so many years, the two reconcile and look forward to making up for lost time.[6][7]"
One More Time (South Korean TV series),I Want to Protect You ~One More Time~,N/A,N/A,"Kim Myung-soo
Yoon So-hee","Teen
Romance
Music
Fantasy",N/A,8,"October 26 –
December 14, 2016",N/A,"Yoo Tan is the leader and vocalist of an indie band called One More Time, which he started with his childhood friends. As the band’s popularity and revenue begins to dwindle, Tan decides to sign a contract with a music label. While adjusting to his new life, Tan gets swept up in a mysterious event – An unwanted time leap allows him to journey back in time to regain his girlfriend.[2]"
Dear X Who Doesn't Love Me,N/A,"Go Jae-hong[2]
Wang Hye-ji[2]",Go Jae-hong[2],N/A,"Drama[1]
Romance[1]",TVING,10[1],"July 14 –
July 28, 2022",N/A,"Seo Hee-soo, a shy college student who aspires to be a lyricist, lacks self-esteem and is inexperienced with love. She intertwined with several men after discovering a mysterious notebook with lyrics that make anyone fall in love with her for one month."
Undercover High School,N/A,Im Young-bin [ko],Choi Jung-in,"Seo Kang-joon
Jin Ki-joo
Kim Shin-rok","Action comedy
Spy",MBC TV,12,"February 21 –
March 29, 2025",N/A,"Jeong Hae-seong, a demotedNISagent following a major incident that occurred during an operation, is tasked with a special mission of tracking down the whereabouts ofEmperor Gojong's missing gold bars. Hae-seong hides his identity, goes undercover as a high school student at Byeongmun High School, and meets Oh Su-a, his homeroom teacher. Su-a, a devoted teacher to her students, begins to notice the similarities between Hae-seong and her childhood first love, who left her heartbroken and filled with painful memories."
Glorious Day (TV series),"Very Good Day
Feel-Good Day",Moon Hee-jung,Hong Sung-chang,"Park Se-young
Lee Sang-woo
Kim Mi-sook
Hwang Woo-seul-hye","Romance
Family
Drama",SBS TV,44,"26 April –
5 October 2014",N/A,"Han Song-jung is a novelist andsingle mother. She raised three daughters on her own and is determined to marry them off to decent men. But in the end, Song-jung finds herself getting married as well."
Memory (TV series),N/A,Kim Ji-woo,Park Chan-hong,"Lee Sung-min
Kim Ji-soo
Park Jin-hee",Drama,tvN,16,"March 18 –
May 7, 2016",N/A,"The drama depicts a man's vigorous efforts to protect the precious value of the life and family love, as his memory starts fading away."
Payback: Money and Power,N/A,Kim Won-seok[6],Lee Won-tae[6],"Lee Sun-kyun
Moon Chae-won
Kang You-seok
Park Hoon","Revenge[1]
Thriller[1]
Legal drama[2]
Action[3]
Crime[4]",SBS TV,12,"January 6 –
February 11, 2023",N/A,"The series follows the story of people who risk everything to fight the money cartel that colluded with the law. They refuse to remain silent in the face of incompetent and unjust power, and fight passionately in their own way.[9]"
You Are the Only One (TV series),"Only You, My Love",Go Bong-hwang,"Jin Hyung-wook
Park Jin-seok","Han Chae-ah
Sung Hyuk
Ji Joo-yeon","Romance
Family
Melodrama",KBS1,120,"November 24, 2014 –
May 22, 2015",N/A,"Owner chef Lee Ji-gun (Sung Hyuk) grew up seeing how his father's numerous affairs have affected his family and hurts his mother. He is afraid of getting into serious relationships and swears off marriage. However, all changed when he meets TV cooking show producer Song Do-won (Han Chae-ah) and falls for her."
Jang Bo-ri Is Here!,Come! Jang Bo-ri,Kim Soon-ok,Baek Ho-min,"Oh Yeon-seo
Kim Ji-hoon
Lee Yu-ri
Oh Chang-seok","Romance
Family
Comedy
Melodrama",MBC,52,"January 5 –
November 21, 2014",N/A,"The events center around a renownedHanbok-making house called Bi Sool Chae. The Master Artisan of Bi Sool Chae, Kim Soo-Mi, focuses on preserving the traditions of Hanbok-making, including hand-dyeing and hand-sewing each garment."
Miss Ajumma,N/A,Song Jung-rim,Oh Jin-suk,"Oh Hyun-kyung
Kwon Oh-joong
Jung Shi-ah
Kim Jung-min
Jung Sung-woon","Melodrama
Romance
Family",Seoul Broadcasting System,103,"30 May –
21 October 2011",N/A,"Kang Geum-hwa (Oh Hyun-kyung) quit her job after getting married and having a daughter. Uncomplaining and trusting, she tries her best to make a happy home for her family. But when she learns that her husband Go Kyung-se (Kwon Oh-joong) is having an affair, she divorces him. Initially miserable, Geum-hwa undergoes amakeover. Now confident and attractive, she is ready to start a new life with her daughter."
Hong Gil-dong (TV series),N/A,"Hong Jung-eun
Hong Mi-ran",Lee Jung-sub,"Kang Ji-hwan
Sung Yu-ri
Jang Keun-suk
Kim Ri-na","Historical
Comedy
Romance
Action",KBS2,24,"2 January –
26 March 2008",N/A,"Hong Gil-dong is the illegitimate son of a minister. He is very bright and smart, but was told that he could not accomplish anything in this world due to his illegitimate status. Thus he grows up spending most of his time being lazy and causing trouble for the people around him. However, a local monk thinks he is destined to be much more, and so teaches Gil-dong martial arts. As the series progresses, Gil-dong realizes the severity of the injustices of the ranked world, and starts to fight against these injustices by stealing from the rich and giving to the poor."
Royal Secret Agent,N/A,"Kang Min-sun
Park Sung-hoon",Kim Jung-min,"Kim Myung-soo
Kwon Nara
Lee Yi-kyung
Lee Tae-hwan
Jo Soo-min","Historical
Comedy drama
Detective",KBS2,16,"December 21, 2020 –
February 9, 2021",N/A,"Set in theJoseonperiod, the series revolves around Sung Yi-gyum (Kim Myung-soo), a state examination top scorer who works in the administrative and research department of the government office. He is caught gambling and as punishment, he is reassigned to a new position as asecret royal inspectorto investigate the corrupt practices of public officers. Yi-gyum carries out his new job with the help of Hong Da-in (Kwon Nara), a female inspector, and Park Chun-sam (Lee Yi-kyung), his talkative but affectionate servant."
Soundtrack 2,Soundtrack No. 2,Jung Hye-seung,"Choi Jung-kyu
Kim Hee-won","Noh Sang-hyun
Keum Sae-rok
Son Jeong-hyuk","Romance
Music",Disney+,6,"December 6 –
December 20, 2023",N/A,
Kkondae Intern,Old School Intern[1],Shin So-ra,Nam Sung-woo,"Park Hae-jin
Kim Eung-soo",Comedy drama,MBC TV,24[a],"May 20 –
July 1, 2020",N/A,"Kkondae Intern is an office comedy that depicts a man's delightful revenge on his previous boss, who was also his worst manager."
Mouse (TV series),N/A,Choi Ran,"Choi Joon-bae
Kang Cheol-woo","Lee Seung-gi
Lee Hee-joon
Park Ju-hyun
Kyung Soo-jin","Crime thriller
Suspense
Mystery
Sci-Fi",tvN,20,"March 3 –
May 20, 2021",N/A,"The story follows detective Ko Moo-chi (Lee Hee-joon)'s attempt to catch apsychopathicserial killer, after witnessing a horrific incident as a child and dealing with his demons from the trauma. Along with his rookie partner Jeong Ba-reum (Lee Seung-gi), he attempts to unearth the truth behind psychopathic behaviors and find answers about the genetic predispositions towardspsychopathy— and how one might act on the knowledge in the event that such predispositions could be detected."
Tomorrow Boy,N/A,Park Seon-jae,Jang Eui-soon,"N
Kang Min-ah
Yoo Se-hyung
Moon Ji-in",N/A,Naver TV Cast,5,"March 28 –
April 11, 2016",N/A,"Ahn Tae-pyung (N) is the eldest among four orphaned siblings living with their grandmother (Moon Hyung-joo). He is a high school student but takes up part-time jobs and also sellsddeokbokkiin order to clear his dead father's debts and to take care of his younger siblings and grandmother. During a robbery at a burger shop, he saves Ah-ra (Kang Min-ah) from being taken hostage. Since then Ah-ra,  a rich girl from another school, has taken a liking for Tae-pyung. She would follow him whenever possible, would try to get his attention, and also try to impress him. The drama ends with Ah-ra trying to find out who is the guy whom Shin-young (Moon Ji-in), thecredit unionboss of Tae-pyung, is interested during Tae-pyung's birthday celebration at his house."
Sisters of the Sea,Sea of Sisters,Lee Hee-woo,"Im Hwa-min
Kim Geun-hong","Go Jung-min
Lee Yoon-ji","Drama
Romance",Munhwa Broadcasting Corporation,155,"August 1, 2005 –
January 27, 2006",N/A,"Sisters of the Sea (Korean: 자매바다; RR: Jamaebada) is a South Korean weekday morning television drama that aired on MBC from August 1, 2005 to January 27, 2006. The series followed the lives of the Song sisters."
Welcome to the Show (TV series),웰컴 투 더 쇼,"Choi Moon-kyung
Woo Chul-won",Park Seung-min,"Lim Seul-ong
Sulli
Nichkhun
Kim Jang-hoon
Kim Kwang-kyu","Comedy, Sitcom",SBS,1,"March 16, 2011",N/A,"The sitcom shows the behind-the-scenes action of idol singers, studio artists, managers and producers on SBS'sInkigayo. The show drew its stories from idols, seniors, juniors, managers, and producers that actually runInkigayo."
"Bad Woman, Good Woman","The Good Woman and the Bad Woman
Good Wife, Bad Wife",Lee Hong-gu,"Lee Dae-young
Lee Dae-yoon","Choi Jin-sil
Lee Jae-ryong
Sung Hyun-ah
Jeon No-min","Romance
Drama",Munhwa Broadcasting Corporation,176,"January 12 –
July 30, 2006",N/A,"Se-young is (Choi Jin-sil) is a devoted wife and mother who greatly values her family and home life. She loves her doctor husband Geon-woo (Lee Jae-ryong) very deeply, and affectionately takes care of her old mother-in-law who is afflicted withdementia, as well as her daughter whom she did not give birth to. But unbeknownst to her, for the past six years Geon-woo has been having an affair with his first love, Seo-kyung (Sung Hyun-ah), who herself is married to Tae-hyun (Jeon No-min). Things come to a head when Geon-woo and Seo-kyung take their families toSaipanfor an international medical seminar. Se-young and Tae-hyun are looking forward to a second honeymoon with their respective spouses, not knowing that Geon-woo and Seo-kyung are secretly meeting for trysts. When Se-young discovers her husband's infidelity, her world goes to pieces.[5]"
Princess Lulu,N/A,"Kwon So-yeon
Lee Hye-sun","Son Jung-hyun
Park Hyung-ki","Kim Jung-eun
Jung Joon-ho",N/A,Seoul Broadcasting System,20,"July 27 –
September 29, 2005",N/A,"Go Hee-soo is the granddaughter of the president of South Korea's biggest conglomerate KS Group. Raised by her grandfather, she is charming and elegant. However, she regrets that she lost her mother, who died in a plane accident with Kim Chan-ho's parents. One day, she meets Kang Woo-jin, who has just come back from the United Kingdom. She is attracted to his carefree personality as he shows her a world she never knew. But Chan-ho, a very good friend of Kang Woo-jin's, grew up with Hee-soo and never regarded her as his older sister. Their love triangle is just the beginning.[1]"
I Order You,I Order for You,"Lee Moon-hwi
Oh Bo-hyun",Ahn Gil-ho,"Jung Yun-ho
Kim Ga-eun","Romance, Comedy","SBS Plus
Naver TV Cast",16,"6 July –
30 July 2015",N/A,"Yeo Gook-dae (Jung Yun-ho) is a talented chef who had a bad experience in a relationship in the past. He was heartbroken since his bride had left him on the day of their marriage. Then, he meets Park Song-ah (Kim Ga-eun) and they fall in love with each other. But eventually their meeting makes them deal with the secrets of the past."
My Daughter the Flower,My Daughter Kkotnim,Park Ye-kyung,Park Young-soo,"Jin Se-yeon
Jo Min-su
Park Sang-won
Lee Ji-hoon
Choi Jin-hyuk
Son Eun-seo","Soap opera
Romance
Family",SBS TV,131,"14 November 2011 –
18 May 2012",N/A,"Yang Kkot-nim (kkotnimmeans ""flower"") is a therapist at arehabilitation hospital. She is bright and brave, but highly emotional inside. Since her father died, Kkot-nim gets through life with her stepmother Jang Soon-ae, who is always there for her.[1]"
The All-Round Wife,National Wife[1][unreliable source?],Kim Ji-wan,Choi Ji-young,"Han Da-gam
Han Sang-jin
Shin Seung-hwan
Seo In-seok
Shim Ji-ho","Drama
Melodrama
Family",KBS1,122,"October 4, 2021 –
April 8, 2022",N/A,"Story of the TV series revolves around Seo Cho-hee (Han Da-gam) and her husband Kang Nam-goo (Han Sang-jin), who endeavour to raise their standard of life through a house inGangnam. In the end, they get the realisation that it is the people who live in the house bring happiness and not the house they live in."
Jolly Widows,"All of Us, Cha-cha-cha",N/A,"Kim Sung-geun
Kim Young-kyun","Shim Hye-jin
Lee Jong-soo
Park Hae-mi
Lee Chung-ah
Park Han-byul
Jo An","Drama, Romance, Family",KBS1,156,"29 June 2009 –
30 January 2010",N/A,"Two women became widows on the same day, same hour."
Flower Grandpa Investigation Unit,"Grandpas Over Flowers Investigation Unit
Flower Grandpa Investigative Team
Grandpas Over Flowers Investigation Team
Flower Grandpa Investigators","Moon Sun-hee
Yoo Nam-kyung",Kim Jin-young,"Lee Soon-jae
Byun Hee-bong
Jang Gwang
Kim Hee-chul",Comedy,tvN,12,"May 9 –
July 25, 2014",N/A,"The lives of four detectives in their twenties are changed forever when after an experiment gone awry, three of them rapidly age overnight and find themselves in the bodies of old men in their seventies (only one, Park Jung-woo, emerges unscathed and stays young). As his suddenly much older colleagues comically struggle to deal with their new and unusual predicament, Jung-woo shares in their hardships, joining them in their mission to find a way to reclaim their lost youth. Meanwhile, the team also continues to solve crimes, while the ""grandpas"" work at a delivery service as their cover.[5][6]"
